,name,country,sport,g_medal,s_medal,b_medal
1967,annemiek bekkering,NED,Sailing,0,0,1
1968,marton vamos,HUN,Water Polo,0,0,1
1969,valerie adams,NZL,Athletics,0,0,1
1970,luis malagon,MEX,Football,0,0,1
1971,sailike walihan,CHN,Wrestling,0,0,1
1972,kieran smith,USA,Swimming,0,0,1
1973,matteo castaldo,ITA,Rowing,0,0,1
1974,segeon ma,KOR,Fencing,0,0,1
1975,gleb bakshi,ROC,Boxing,0,0,1
1976,rodrigo isgro,ARG,Rugby Sevens,0,0,1
1977,gulnaz badykova,ROC,Cycling Track,0,0,1
1978,johannes frey,GER,Judo,0,0,1
1979,sebastian seidl,GER,Judo,0,0,1
1980,federico pereyra,ARG,Volleyball,0,0,1
1981,althea laurin,FRA,Taekwondo,0,0,1
1982,aleksandar ratkov,SRB,3x3 Basketball,0,0,1
1983,tzuyun wen,TPE,Karate,0,0,1
1984,baboloki thebe,BOT,Athletics,0,0,1
1985,imam khataev,ROC,Boxing,0,0,1
1986,ahmed tijan,QAT,Beach Volleyball,0,0,1
1987,daniel cargnin,BRA,Judo,0,0,1
1988,carli lloyd,USA,Football,0,0,1
1989,nick itkin,USA,Fencing,0,0,1
1990,vanda valyi,HUN,Water Polo,0,0,1
1991,eumir marcial,PHI,Boxing,0,0,1
1992,marco di costanzo,ITA,Rowing,0,0,1
1993,rowena meredith,AUS,Rowing,0,0,1
1994,dina asher-smith,GBR,Athletics,0,0,1
1995,sarah robles,USA,Weightlifting,0,0,1
1996,dario alvarez,DOM,Baseball/Softball,0,0,1
1997,bryce deadmon,USA,Athletics,0,0,1
1998,antonino pizzolato,ITA,Weightlifting,0,0,1
1999,sanne van dijke,NED,Judo,0,0,1
2000,federico burdisso,ITA,Swimming,0,0,1
2001,federico burdisso,ITA,Swimming,0,0,1
2002,vanesa kaladzinskaya,BLR,Wrestling,0,0,1
2003,alda magyari,HUN,Water Polo,0,0,1
2004,mohamed ibrahim elsayed elsayed,EGY,Wrestling,0,0,1
2005,funa nakayama,JPN,Skateboarding,0,0,1
2006,bojana milenkovic,SRB,Volleyball,0,0,1
2007,yuta watanabe,JPN,Badminton,0,0,1
2008,tadej pogacar,SLO,Cycling Road,0,0,1
2009,simone biles,USA,Artistic Gymnastics,0,0,1
2010,isabelle petter,GBR,Hockey,0,0,1
2011,tijana bogdanovic,SRB,Taekwondo,0,0,1
2012,henry fieldman,GBR,Rowing,0,0,1
2013,michael venus,NZL,Tennis,0,0,1
2014,amuro tsuzuki,JPN,Surfing,0,0,1
2015,lynn williams,USA,Football,0,0,1
2016,ho ching lee,HKG,Table Tennis,0,0,1
2017,isaac cooper,AUS,Swimming,0,0,1
2018,iryna kindzerska,AZE,Judo,0,0,1
2019,rafig huseynov,AZE,Wrestling,0,0,1
2020,maryna aleksiiva,UKR,Artistic Swimming,0,0,1
2021,saken bibossinov,KAZ,Boxing,0,0,1
2022,alowesi nakoci,FIJ,Rugby Sevens,0,0,1
2023,ese brume,NGR,Athletics,0,0,1
2024,endene miyem,FRA,Basketball,0,0,1
2025,krisztina garda,HUN,Water Polo,0,0,1
2026,takaharu furukawa,JPN,Archery,0,0,1
2027,takaharu furukawa,JPN,Archery,0,0,1
2028,erick aguirre,MEX,Football,0,0,1
2029,tsukimi namiki,JPN,Boxing,0,0,1
2030,emily seebohm,AUS,Swimming,0,0,1
2031,santiago mare,ARG,Rugby Sevens,0,0,1
2032,jordi xammar hernandez,ESP,Sailing,0,0,1
2033,ariel torres gutierrez,USA,Karate,0,0,1
2034,sarah evans,GBR,Hockey,0,0,1
2035,silvija popovic,SRB,Volleyball,0,0,1
2036,milena rasic,SRB,Volleyball,0,0,1
2037,balazs erdelyi,HUN,Water Polo,0,0,1
2038,facundo conte,ARG,Volleyball,0,0,1
2039,lautaro bazan velez,ARG,Rugby Sevens,0,0,1
2040,thomas ploessel,GER,Sailing,0,0,1
2041,mykhailo romanchuk,UKR,Swimming,0,0,1
2042,anastasiya savchuk,UKR,Artistic Swimming,0,0,1
2043,anastasiya savchuk,UKR,Artistic Swimming,0,0,1
2044,vasiti solikoviti,FIJ,Rugby Sevens,0,0,1
2045,nurislam sanayev,KAZ,Wrestling,0,0,1
2046,alexander massialas,USA,Fencing,0,0,1
2047,josef dostal,CZE,Canoe Sprint,0,0,1
2048,kate douglass,USA,Swimming,0,0,1
2049,wei pang,CHN,Shooting,0,0,1
2050,anastasiia voinova,ROC,Cycling Track,0,0,1
2051,chaopan lin,CHN,Artistic Gymnastics,0,0,1
2052,serghei tarnovschi,MDA,Canoe Sprint,0,0,1
2053,hoi kem doo,HKG,Table Tennis,0,0,1
2054,martina centofanti,ITA,Rhythmic Gymnastics,0,0,1
2055,imani lansiquot,GBR,Athletics,0,0,1
2056,ria thompson,AUS,Rowing,0,0,1
2057,lars rudiger,GER,Diving,0,0,1
2058,aifric keogh,IRL,Rowing,0,0,1
